Week,Step,Action,Contact / Channel,Asset to Attach,Success Signal,Status
1,Warm-up,Download the PILLARS app; use it for a few days; note 2-3 specific things you genuinely like and 1 gap (promise-tracking),App Store / Google Play,None,You can reference specifics credibly,
1,Warm-up,Follow + engage PILLARS on socials (founder Caleb Adelman and Head of Growth Molly Sullivan on LinkedIn/X); thoughtful comments only,LinkedIn / X,None,They recognize your name before the email,
1,Feedback email,Send genuinely useful product feedback referencing something specific in the app; no pitch yet,hello@pillarsapp.us,None,A reply from Caleb or team,
2,Value-first intro,"Short email: ""We built the outcome-scoring layer for promise-tracking - pre-registered, reproducible, source-anchored. Want a free API pilot?""",hello@pillarsapp.us (cc: LinkedIn DM to Caleb + Molly),White paper PDF + Methodology PDF + 90-sec demo video + 1 insufficient-evidence example,A call gets booked,
2,Integration sketch,Prepare a one-page mock: their politician profile page with a DegreeZero score chip + source-trail link,Bring to the call,One-page integration sketch,They react to the mock not the abstract idea,
3,Pilot offer,"Offer a free 60-90 day API pilot: scored composites + record layer for ~20 officials, their branding, your attribution",Call / follow-up email,API docs + pilot terms (free; attribution required),Pilot accepted,
3,Optionality (parallel),Open the SAME integration conversation with GovTrack (hello@govtrack.us) and Ballotpedia (editor@ballotpedia.org),Email,Same white paper + integration sketch,At least one other live conversation,
4,Pilot support,"Make the pilot land: fast answers, a custom endpoint if needed, weekly check-in with Molly (growth metrics on the feature)",Email / Slack if offered,Recently-scored feed for their push notifications,Their users engage with the score chip,
5,Build-vs-buy,"When they ask about expanding coverage, present the build-vs-buy math: methodology + reproducibility engine + vetted adapters + neutrality test suite took a year; license or acquire",Call,One-page asset summary (IP list; not traffic metrics),They ask what an acquisition looks like,
6,Flip framing,"Frame as IP/asset sale or acqui-hire: the scored dataset, adapter pipeline, audit/reproducibility engine, methodology + tests. NOT a traffic multiple. Mention parallel conversations honestly",Call / email,Asset + IP inventory doc,Term discussion,
ongoing,Citation building,Land 2-3 external citations (statistician review; trade-press piece; Show HN) to raise perceived value during the conversation,See outreach_contacts.csv,White paper + break-it challenge,Each citation strengthens the flip price,
