Priority,Category,Organization,Best Contact,Role,Contact Address / Channel,Angle,Status
1,Platform (flip target),PILLARS,Caleb Adelman,Founder,hello@pillarsapp.us (also LinkedIn/X DM),Outcome-scoring layer for their promise-tracking gap; offer free API pilot,
1,Platform (flip target),PILLARS,Molly Sullivan,Head of Growth,hello@pillarsapp.us (also LinkedIn DM),Same as above; growth angle = new differentiating feature,
1,Platform (integration),GovTrack,Josh Tauberer,Founder,hello@govtrack.us,Score chip on member pages; data interop; creates buyer optionality,
1,Platform (integration),Ballotpedia,Editorial desk,Data/editorial,editor@ballotpedia.org,License scored dataset; cross-link source trails,
2,Platform (integration),USAFacts,Partnerships,Partnerships,usafacts.org contact form,Reproducible outcome data fits their data-culture brand,
2,Platform (integration),Vote Smart,Research staff,Research,votesmart.org contact form,Complement their courage test with outcome scores,
2,Platform (integration),Plural (Open States),Partnerships,Partnerships,pluralpolicy.com contact form,They sell legislative data to lobbyists; scored layer = upsell,
2,Platform (integration),Quorum,Partnerships,Product/partnerships,quorum.us contact form,Lobbying software buyers want objective member records,
2,Platform (integration),FiscalNote,Partnerships,Product/partnerships,fiscalnote.com contact form,Same as Quorum,
2,Media (profiled PILLARS),AllSides,Editorial,Editorial,allsides.com contact form,They profile nonpartisan civic tools; natural DegreeZero profile,
1,Statistician,MIT Election Data + Science Lab,Lab staff,Research lab,info@electionlab.mit.edu,Methodology review invitation; break-it challenge,
1,Statistician,Columbia University,Andrew Gelman,Professor of Statistics,Statistical Modeling blog (statmodeling.stat.columbia.edu) comments/contact,Invite critique of the causal design; even critical post = citation,
2,Statistician,Harvard IQSS,Center staff,Research center,iq.harvard.edu contact page,Methods review; reproducibility angle,
2,Statistician,American Statistical Association,Media/policy office,Communications,amstat.org media contact,Amstat News feature: statistics in the public interest,
2,Statistician,Society for Political Methodology,Officers,Academic society,polmeth.org officer contacts,Ask for methodology feedback on the listserv,
3,Statistician,Princeton Election Consortium,Sam Wang,Professor,election.princeton.edu public contact,Neutral quantitative accountability angle,
1,Think tank,Niskanen Center,Matt Grossmann,Science of Politics podcast host,niskanencenter.org contact / podcast pitch,Episode: reproducible accountability scoring,
1,Think tank,Center for Effective Lawmaking,Craig Volden / Alan Wiseman,Co-directors,thelawmakers.org contact,The academic analogue (legislator effectiveness); propose cross-citation,
1,Hill-adjacent,Congressional Management Foundation,Program staff,Nonprofit working with Hill offices,congressfoundation.org contact,They coach offices on effectiveness; on-mission tool,
2,Think tank,Brookings Governance Studies,Scholar-level contact,Governance program,brookings.edu scholar pages,Analyst pitch (not press office); offer API access,
2,Think tank,American Enterprise Institute,Congress project staff,Governance program,aei.org scholar pages,Cross-spectrum credibility; same pitch as Brookings,
2,Think tank,Cato Institute,Transparency scholars,Governance program,cato.org scholar pages,Open-gov/transparency angle,
2,Think tank,R Street Institute,Governance program,Program inbox,rstreet.org contact,Process/reform angle,
2,Think tank,Bipartisan Policy Center,Democracy program,Program inbox,bipartisanpolicy.org contact,Bipartisan framing is the product's core,
3,Think tank,New America,Political Reform program,Program inbox,newamerica.org contact,Reform-tech angle,
1,Operatives,American Association of Political Consultants,Newsletter/programs,Trade association,theaapc.org contact,Member newsletter/webinar reaches campaign managers,
2,Operatives,National Institute for Lobbying & Ethics,Programs,Trade association,lobbyinginstitute.com contact,Lobbyists want objective member records,
1,Trade press,Campaigns & Elections,Editorial tips,Trade magazine,campaignsandelections.com editorial contact,The trade press campaign managers read,
2,Statehouse reach,NCSL,Communications,Association of legislatures,ncsl.org contact,Reaches every statehouse staff org,
1,Press,Roll Call,Tips,Hill-institutional press,rollcall.com tips,First reproducible scorecard angle,
1,Press,Politico Congress team,Tips,Congress beat,politico.com tips page,Congress-effectiveness data angle,
2,Press,The Hill,Tips,Congress beat,thehill.com tips,Same,
2,Press,Punchbowl News,Tips,Congress beat,punchbowl.news contact,Same,
2,Press,Axios,Tips,Politics/tech beat,axios.com tips,Concise data-driven angle,
2,Press,Semafor Principals,Tips,DC newsletter,semafor.com tips,Same,
2,Press,GovExec / Route Fifty,Editorial,Gov performance beat,govexec.com contact,Government-performance measurement angle,
3,Community,Hacker News,Show HN post,Community,news.ycombinator.com (Show HN),Open-source + reproducibility angle; one well-timed post,
3,Community,Product Hunt,Launch post,Community,producthunt.com,Same; time to a news hook,
